# X, Y1, Y2, Y3, Y4, Y5, Y6, Y7, Y8, Y9, Y10
 0.00000000e+00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
 6.06060606e-02 -3.99962993e+00 2.06479347e+00 2.64983843e+01 -2.84068083e+01 3.50022478e+00 7.50000000e+00 7.49999889e+00 2.06000822e+01 3.15093721e+00 -2.29782504e+01
 1.21212121e-01 -3.99953070e+00 -1.95265249e+00 2.27808184e+01 -2.00868700e+01 3.50135223e+00 7.50000000e+00 7.49999824e+00 1.29555452e+01 3.95765538e+00 -1.62480757e+01
 1.81818182e-01 -3.99940487e+00 -3.84982740e+00 2.13358701e+01 -1.64013093e+01 3.50353507e+00 7.50000000e+00 7.49999721e+00 9.56888961e+00 4.92375282e+00 -1.32664958e+01
 2.42424242e-01 -3.99924530e+00 -5.04743415e+00 2.05973105e+01 -1.42046868e+01 3.50701714e+00 7.50000000e+00 7.49999558e+00 7.55004130e+00 5.97383778e+00 -1.14891169e+01
 3.03030303e-01 -3.99904296e+00 -5.89987049e+00 2.01617873e+01 -1.27061498e+01 3.51204205e+00 7.50000000e+00 7.49999300e+00 6.17231188e+00 7.02596438e+00 -1.02761681e+01
 3.63636364e-01 -3.99878639e+00 -6.54203171e+00 1.98671902e+01 -1.16005947e+01 3.51884075e+00 7.50000000e+00 7.49998890e+00 5.15531432e+00 7.99802739e+00 -9.38079619e+00
 4.24242424e-01 -3.99846106e+00 -7.03734260e+00 1.96319470e+01 -1.07420888e+01 3.52761675e+00 7.49999999e+00 7.49998240e+00 4.36490433e+00 8.81416953e+00 -8.68489720e+00
 4.84848485e-01 -3.99804856e+00 -7.41992876e+00 1.94095179e+01 -1.00509139e+01 3.53852876e+00 7.49999999e+00 7.49997209e+00 3.72777325e+00 9.41070120e+00 -8.12392382e+00
 5.45454545e-01 -3.99752556e+00 -7.71015207e+00 1.91717941e+01 -9.47936785e+00 3.55167078e+00 7.49999998e+00 7.49995572e+00 3.20002832e+00 9.74107062e+00 -7.65922296e+00
 6.06060606e-01 -3.99686251e+00 -7.92135470e+00 1.89019548e+01 -8.99693828e+00 3.56704900e+00 7.49999997e+00 7.49992975e+00 2.75357191e+00 9.77949662e+00 -7.26604293e+00
 6.66666667e-01 -3.99602197e+00 -8.06313992e+00 1.85909728e+01 -8.58308546e+00 3.58455475e+00 7.49999995e+00 7.49988854e+00 2.36947249e+00 9.52298053e+00 -6.92769580e+00
 7.27272727e-01 -3.99495652e+00 -8.14310297e+00 1.82356821e+01 -8.22341128e+00 3.60393201e+00 7.49999992e+00 7.49982311e+00 2.03444687e+00 8.99154020e+00 -6.63245834e+00
 7.87878788e-01 -3.99360616e+00 -8.16779592e+00 1.78375553e+01 -7.90748336e+00 3.62473720e+00 7.49999988e+00 7.49971925e+00 1.73886316e+00 8.22664785e+00 -6.37181156e+00
 8.48484848e-01 -3.99189499e+00 -8.14328181e+00 1.74018088e+01 -7.62753001e+00 3.64628755e+00 7.49999981e+00 7.49955435e+00 1.47554406e+00 7.28799369e+00 -6.13938407e+00
 9.09090909e-01 -3.98972705e+00 -8.07545284e+00 1.69366565e+01 -7.37762182e+00 3.66759335e+00 7.49999970e+00 7.49929258e+00 1.23901707e+00 6.24882784e+00 -5.93028849e+00
 9.69696970e-01 -3.98698111e+00 -7.97020407e+00 1.64526252e+01 -7.15313866e+00 3.68726725e+00 7.49999952e+00 7.49887705e+00 1.02502687e+00 5.19024410e+00 -5.74068806e+00
 1.03030303e+00 -3.98350421e+00 -7.83351383e+00 1.59618936e+01 -6.95041143e+00 3.70340362e+00 7.49999924e+00 7.49821754e+00 8.30208008e-01 4.19485159e+00 -5.56750378e+00
 1.09090909e+00 -3.97910363e+00 -7.67146109e+00 1.54776402e+01 -6.76647469e+00 3.71342118e+00 7.49999880e+00 7.49717108e+00 6.51859134e-01 3.34032813e+00 -5.40821040e+00
 1.15151515e+00 -3.97353690e+00 -7.49019824e+00 1.50134036e+01 -6.59889186e+00 3.71386883e+00 7.49999810e+00 7.49551125e+00 4.87783481e-01 2.69335852e+00 -5.26069033e+00
 1.21212121e+00 -3.96649970e+00 -7.29589192e+00 1.45824627e+01 -6.44562927e+00 3.70021046e+00 7.49999699e+00 7.49287976e+00 3.36173828e-01 2.30443054e+00 -5.12312640e+00
 1.27272727e+00 -3.95761109e+00 -7.09464009e+00 1.41972500e+01 -6.30496412e+00 3.66664024e+00 7.49999523e+00 7.48871043e+00 1.95527943e-01 2.20389511e+00 -4.99392145e+00
 1.33333333e+00 -3.94639595e+00 -6.89237173e+00 1.38688157e+01 -6.17541628e+00 3.60604439e+00 7.49999243e+00 7.48211001e+00 6.45854031e-02 2.39959771e+00 -4.87163701e+00
 1.39393939e+00 -3.93226432e+00 -6.69473349e+00 1.36063555e+01 -6.05569737e+00 3.51031958e+00 7.49998801e+00 7.47167277e+00 -5.77203614e-02 2.87626616e+00 -4.75494602e+00
 1.45454545e+00 -3.91448789e+00 -6.50696661e+00 1.34168181e+01 -5.94467258e+00 3.37134814e+00 7.49998099e+00 7.45519453e+00 -1.72298995e-01 3.59670242e+00 -4.64259652e+00
 1.51515152e+00 -3.89217418e+00 -6.33377607e+00 1.33046036e+01 -5.84133203e+00 3.18290371e+00 7.49996987e+00 7.42923872e+00 -2.79932081e-01 4.50468538e+00 -4.53338407e+00
 1.57575758e+00 -3.86423982e+00 -6.17919296e+00 1.32713621e+01 -5.74476937e+00 2.94342348e+00 7.49995224e+00 7.38849451e+00 -3.81296070e-01 5.52935826e+00 -4.42613189e+00
 1.63636364e+00 -3.82938575e+00 -6.04642974e+00 1.33158965e+01 -5.65416583e+00 2.65881769e+00 7.49992430e+00 7.32486897e+00 -4.76980834e-01 6.59075798e+00 -4.31967783e+00
 1.69696970e+00 -3.78607887e+00 -5.93772664e+00 1.34341705e+01 -5.56877864e+00 2.34364349e+00 7.49988001e+00 7.22630323e+00 -5.67505059e-01 7.60605530e+00 -4.21286792e+00
 1.75757576e+00 -3.73254719e+00 -5.85418680e+00 1.36194165e+01 -5.48793259e+00 2.01904683e+00 7.49980982e+00 7.07546885e+00 -6.53329437e-01 8.49601852e+00 -4.10455636e+00
 1.81818182e+00 -3.66679864e+00 -5.79559654e+00 1.38623323e+01 -5.41101416e+00 1.70759531e+00 7.49969856e+00 6.84890686e+00 -7.34868449e-01 9.19119643e+00 -3.99361175e+00
 1.87878788e+00 -3.58667680e+00 -5.76022835e+00 1.41513489e+01 -5.33746741e+00 1.42742111e+00 7.49952223e+00 6.51793389e+00 -8.12501431e-01 9.63733799e+00 -3.87892959e+00
 1.93939394e+00 -3.48996861e+00 -5.74462718e+00 1.44729424e+01 -5.26679126e+00 1.18865376e+00 7.49924274e+00 6.05356669e+00 -8.86583553e-01 9.79962578e+00 -3.75945069e+00
 2.00000000e+00 -3.37457856e+00 -5.74338844e+00 1.48119538e+01 -5.19853754e+00 9.93318097e-01 7.49879979e+00 5.43763846e+00 -9.57457230e-01 9.66539283e+00 -3.63418517e+00
 2.06060606e+00 -3.23877671e+00 -5.74895195e+00 1.51518633e+01 -5.13230971e+00 8.37650667e-01 7.49809780e+00 4.67876227e+00 -1.02546444e+00 9.24511071e+00 -3.50224136e+00
 2.12121212e+00 -3.08151317e+00 -5.75146297e+00 1.54749517e+01 -5.06776167e+00 7.15015478e-01 7.49698540e+00 3.82403723e+00 -1.09096023e+00 8.57157191e+00 -3.36285858e+00
 2.18181818e+00 -2.90276689e+00 -5.73879292e+00 1.57622514e+01 -5.00459666e+00 6.18191329e-01 7.49522287e+00 2.95273318e+00 -1.15432759e+00 7.69732995e+00 -3.21544264e+00
 2.24242424e+00 -2.70386631e+00 -5.69686647e+00 1.59931672e+01 -4.94256591e+00 5.40687030e-01 7.49243091e+00 2.14892874e+00 -1.21599332e+00 6.69059722e+00 -3.05960232e+00
 2.30303030e+00 -2.48769463e+00 -5.61049223e+00 1.61446274e+01 -4.88146701e+00 4.77265060e-01 7.48800981e+00 1.47062353e+00 -1.27644448e+00 5.62992017e+00 -2.89518523e+00
 2.36363636e+00 -2.25868819e+00 -5.46490326e+00 1.61896538e+01 -4.82114184e+00 4.23988325e-01 7.48101290e+00 9.36730854e-01 -1.33624415e+00 4.59804742e+00 -2.72231077e+00
 2.42424242e+00 -2.02256874e+00 -5.24811053e+00 1.60954104e+01 -4.76147403e+00 3.78045293e-01 7.46994930e+00 5.34905097e-01 -1.39604471e+00 3.67546883e+00 -2.54139815e+00
 2.48484848e+00 -1.78581840e+00 -4.95388195e+00 1.58212828e+01 -4.70238597e+00 3.37508460e-01 7.45248000e+00 2.37645060e-01 -1.45659625e+00 2.93412923e+00 -2.35318728e+00
 2.54545455e+00 -1.55498837e+00 -4.58467933e+00 1.53186383e+01 -4.64383539e+00 3.01102389e-01 7.42495734e+00 1.53040965e-02 -1.51874711e+00 2.43180669e+00 -2.15875045e+00
 2.60606061e+00 -1.33599208e+00 -4.15340443e+00 1.45356806e+01 -4.58581153e+00 2.68010384e-01 7.38174702e+00 -1.57274910e-01 -1.58343270e+00 2.20759299e+00 -1.95949301e+00
 2.66666667e+00 -1.13353919e+00 -3.68273190e+00 1.34321062e+01 -4.52833100e+00 2.37725166e-01 7.31427812e+00 -2.98880971e-01 -1.65164913e+00 2.27882741e+00 -1.75714176e+00
 2.72727273e+00 -9.50815738e-01 -3.20151435e+00 1.20053205e+01 -4.47143344e+00 2.09939005e-01 7.20982821e+00 -4.22397495e-01 -1.72440763e+00 2.63972089e+00 -1.55372002e+00
 2.78787879e+00 -7.89434914e-01 -2.73908614e+00 1.03182349e+01 -4.41517705e+00 1.84465761e-01 7.05024777e+00 -5.36010383e-01 -1.80266695e+00 3.26177480e+00 -1.35150936e+00
