# X, Y1, Y2
 -1.03272043e+00 -7.35244894e-01 -1.30596866e-01
 -8.06430920e-01 -9.32357836e-03 7.21869318e-01
 -1.44404120e-01 9.20072960e-03 5.55266242e-01
 1.04392190e+00 1.57304797e-01 9.67583522e+00
 7.28492215e-01 -3.17883735e-02 1.30549679e+00
 6.54587641e-01 -2.36454017e-02 3.59894728e-01
 7.27965155e-02 1.63448647e-03 -2.87987547e-01
 2.54263826e-01 1.08154021e-02 -8.68831326e-01
 1.49418264e-01 5.57766255e-03 -5.68992209e-01
 -6.41000796e-01 1.14868486e-01 1.13229371e+00
 -4.59041716e-01 9.36431127e-02 1.23994577e+00
