# X, Y1
 4.11779567e-01 -5.70055724e-01
 -3.51658083e-01 -7.70558394e-01
 3.20128107e-01 -7.67323892e-01
 -3.83444049e-01 -9.71738555e-01
 -2.05372481e-02 1.05518340e-01
 1.50117305e-01 -7.48074138e-01
 -4.89081985e-01 -1.53174690e+00
 -2.31661940e-01 -3.39436794e-03
 6.67697786e-01 -1.61787421e-01
 -9.26064297e-01 -2.32672402e+00
 -5.69084029e-01 -1.82917246e+00
 -1.98640737e-01 1.61902872e-01
 -6.65598795e-01 -2.06570898e+00
 -7.41953456e-01 -2.18411836e+00
 5.93917271e-01 -2.41367420e-01
 8.28795526e-01 -6.45451228e-02
 6.16055855e-02 -3.50699107e-01
 5.66371073e-01 -2.78728206e-01
 -1.03728931e+00 -2.36218360e+00
 1.01613798e+00 -2.13944792e-02
 -7.46129129e-02 3.06121256e-01
 3.16750925e-01 -7.73586609e-01
 9.20529318e-01 -3.76897043e-02
 -7.33712154e-01 -2.17358855e+00
 7.28930633e-01 -1.14721842e-01
